id,isbn,title,all_authors,publisher,publication_date,author_gender,format,category,orthography
SvB_BS_061,9789164232298,En plats i solen,Liza Marklund,Piratförlaget,2008-09-01,F,bestseller,CRIME,dash
SvB_BS_062,9789173481885,Den som dödar draken,Leif G.W. Persson,Bonnier Audio,2008-05-29,M,bestseller,CRIME,dash
SvB_BS_063,9789173482042,Till dess din vrede upphör,Åsa Larsson,Bonnier Audio,2008-09-15,F,bestseller,CRIME,dash
SvB_BS_064,9789173482486,Nattfåk,Johan Theorin,Bonnier Audio,2008-09-15,M,bestseller,CRIME,quot
SvB_BS_065,9789170361821,Midvinterblod,Mons Kallentoft,Storyside,2007-06-01,M,bestseller,CRIME,quot
SvB_BS_066,9789170362361,Mig äger ingen,Åsa Linderborg,Storyside,2007-11-01,F,bestseller,PRESTIGE,dash
SvB_BS_067,9789173483889,Den förlorade symbolen,Dan Brown,Bonnier Audio,2009-10-21,M,bestseller,CRIME,quot
SvB_BS_068,9789173482981,Fyrvaktaren,Camilla Läckberg,Bonnier Audio,2009-09-16,F,bestseller,CRIME,quot
SvB_BS_069,9789173432764,Den orolige mannen,Henning Mankell,Leopard Förlag,2018-04-09,M,bestseller,CRIME,dash
SvB_BS_070,9789178273034,Hypnotisören - Black edition,Lars Kepler,Bonnier Audio,2019-06-11,2,bestseller,CRIME,dash
SvB_BS_071,9789164232496,Tre sekunder,Roslund & Hellström,Piratförlaget,2009-05-01,M,bestseller,CRIME,dash
SvB_BS_072,9789164232519,Hundraåringen som klev ut genom fönstret och försvann,Jonas Jonasson,Piratförlaget,2009-09-01,M,bestseller,OTHER,dash
SvB_BS_073,9789173482912,Den dubbla tystnaden,Mari Jungstedt,Bonnier Audio,2009-06-08,F,bestseller,CRIME,dash
SvB_BS_074,9789173481779,Den mörka ängeln,Mari Jungstedt,Bonnier Audio,2008-06-24,F,bestseller,CRIME,dash
SvB_BS_075,9789170362897,Sommardöden,Mons Kallentoft,Storyside,2008-05-01,M,bestseller,CRIME,quot
SvB_BS_076,9789176513484,Snömannen,Jo Nesbø,Bonnier Audio,2017-01-30,M,bestseller,CRIME,quot
SvB_BS_077,9789173484220,Paganinikontraktet,Lars Kepler,Bonnier Audio,2010-07-15,2,bestseller,CRIME,dash
SvB_BS_078,9789173483964,Blodläge,Johan Theorin,Bonnier Audio,2010-04-29,M,bestseller,CRIME,quot
SvB_BS_079,9789173484329,Den döende detektiven,Leif G.W. Persson,Bonnier Audio,2010-08-13,M,bestseller,CRIME,dash
SvB_BS_080,9789164232540,Postcard Killers,Liza Marklund,Piratförlaget,2010-01-01,2,bestseller,CRIME,dash
SvB_BS_081,9789164232328,1222 över havet,Anne Holt,Piratförlaget,2008-10-01,F,bestseller,CRIME,dash
SvB_BS_082,9789113024837,Bara vanligt vatten,Kajsa Ingemarsson,Norstedts,2009-04-01,F,bestseller,OTHER,quot
SvB_BS_083,9789170369698,Boktjuven,Markus Zusak,Storyside,2018-09-13,M,bestseller,OTHER,quot
SvB_BS_084,9789186223168,Igelkottens elegans,Muriel Barbery,Word Audio Publishing,2010-10-01,F,bestseller,OTHER,dash
SvB_BS_085,9789170363979,Höstoffer,Mons Kallentoft,Storyside,2009-05-01,M,bestseller,CRIME,quot
SvB_BS_086,9789173482578,I den innersta kretsen,Viveca Sten,Bonnier Audio,2009-04-08,F,bestseller,CRIME,quot
SvB_BS_087,9789173485630,Eldvittnet,Lars Kepler,Bonnier Audio,2011-11-11,2,bestseller,CRIME,dash
SvB_BS_088,9789173485432,Änglamakerskan,Camilla Läckberg,Bonnier Audio,2011-09-19,F,bestseller,CRIME,quot
SvB_BS_089,9789186719043,En dag,David Nicholls,A Nice Noise,2010-11-01,M,bestseller,OTHER,quot
SvB_BS_090,9789173485227,Livet deluxe,Jens Lapidus,Bonnier Audio,2011-06-10,M,bestseller,CRIME,quot
SvB_BS_091,9789164232731,Brobyggarna,Jan Guillou,Piratförlaget,2011-09-01,M,bestseller,OTHER,quot
SvB_BS_092,9789173484879,Niceville,Kathryn Stockett,Bonnier Audio,2010-09-15,F,bestseller,OTHER,quot
SvB_BS_093,9789164232779,"Du gamla, du fria",Liza Marklund,Piratförlaget,2011-11-01,F,bestseller,CRIME,dash
SvB_BS_094,9789176513453,Pansarhjärta,Jo Nesbø,Bonnier Audio,2017-02-24,M,bestseller,CRIME,quot
SvB_BS_095,9789173485210,Det fjärde offret,Mari Jungstedt,Bonnier Audio,2011-05-17,F,bestseller,CRIME,dash
SvB_BS_096,9789113030234,Drömmen förde dej vilse,Anna Jansson,Norstedts,2010-05-01,F,bestseller,CRIME,quot
SvB_BS_097,9789173485685,Grand final i skojarbranschen,Kerstin Ekman,Bonnier Audio,2011-10-07,F,bestseller,OTHER,other
SvB_BS_098,9789113033334,Det fördolda,"Hans Rosenfeldt, Michael Hjorth",Norstedts,2010-08-01,M,bestseller,CRIME,dash
SvB_BS_099,9789176513576,Huvudjägarna,Jo Nesbø,Bonnier Audio,2016-10-04,M,bestseller,CRIME,quot
SvB_BS_100,9789113036564,Spill,Sigrid Combüchen,Norstedts,2016-06-10,F,bestseller,PRESTIGE,other
SvB_BS_101,9789173485548,Sankta Psyko,Johan Theorin,Bonnier Audio,2011-09-29,M,bestseller,CRIME,quot
SvB_BS_102,9789164232618,Tusenskönor,Kristina Ohlsson,Piratförlaget,2010-08-01,F,bestseller,CRIME,dash
SvB_BS_103,9789173483872,I grunden utan skuld,Viveca Sten,Bonnier Audio,2010-03-24,F,bestseller,CRIME,quot
SvB_BS_104,9789173485203,I natt är du död,Viveca Sten,Bonnier Audio,2011-04-11,F,bestseller,CRIME,quot
SvB_BS_105,9789170366369,Den femte årstiden,Mons Kallentoft,Storyside,2011-06-01,M,bestseller,CRIME,quot
SvB_BS_106,9789173485371,Utrensning,Sofi Oksanen,Bonnier Audio,2010-12-01,F,bestseller,PRESTIGE,dash
SvB_BS_107,9789173485647,Ensamma hjärtan och hemlösa hundar,Lucy Dillon,Bonnier Audio,2012-06-01,F,bestseller,OTHER,quot
SvB_BS_108,9789173484800,Strindbergs stjärna,Jan Wallentin,Bonnier Audio,2010-10-01,M,bestseller,CRIME,dash
SvB_BS_109,9789173486576,Sandmannen,Lars Kepler,Bonnier Audio,2012-11-09,2,bestseller,CRIME,dash
SvB_BS_110,9789164232687,Änglavakter,Kristina Ohlsson,Piratförlaget,2011-04-01,F,bestseller,CRIME,dash
SvB_BS_111,9789113038292,Någonstans inom oss,Kajsa Ingemarsson,Norstedts,2011-07-01,F,bestseller,OTHER,quot
SvB_BS_112,9789113045832,Torka aldrig tårar utan handskar: 1. Kärleken,Jonas Gardell,Norstedts,2012-08-01,M,bestseller,OTHER,quot
SvB_BS_114,9789164232861,Dandy,Jan Guillou,Piratförlaget,2012-09-01,M,bestseller,OTHER,quot
SvB_BS_115,9789173486224,Den sista akten,Mari Jungstedt,Bonnier Audio,2012-05-15,F,bestseller,CRIME,dash
SvB_BS_117,9789164232830,Två soldater,Roslund & Hellström,Piratförlaget,2012-05-01,M,bestseller,CRIME,dash
SvB_BS_118,9789113038308,Lärjungen,"Hans Rosenfeldt, Michael Hjorth",Norstedts,2011-08-01,M,bestseller,CRIME,dash
SvB_BS_119,9789173486194,I stundens hetta,Viveca Sten,Bonnier Audio,2012-06-15,F,bestseller,CRIME,quot
SvB_BS_120,9789173484930,Till offer åt Molok,Åsa Larsson,Bonnier Audio,2012-03-20,F,bestseller,CRIME,dash
SvB_BS_121,9789176513545,Gengångare,Jo Nesbø,Bonnier Audio,2017-02-24,M,bestseller,CRIME,quot
SvB_BS_122,9789173486606,En man som heter Ove,Fredrik Backman,Bonnier Audio,2012-08-27,M,bestseller,OTHER,dash
SvB_BS_123,9789113046013,Fjällgraven,"Hans Rosenfeldt, Michael Hjorth",Norstedts,2012-10-01,M,bestseller,CRIME,dash
SvB_BS_124,9789113039077,Helgonet,Carin Gerhardsen,Norstedts,2011-06-01,F,bestseller,CRIME,dash
SvB_BS_126,9789170367281,Felicia försvann,Felicia Feldt,Storyside,2012-01-01,F,bestseller,OTHER,dash
SvB_BS_129,9789173486415,Vattenänglar,Mons Kallentoft,Bonnier Audio,2012-08-06,M,bestseller,CRIME,quot
SvB_BS_130,9789187343742,Livet efter dig,Jojo Moyes,Printz Publishing,2015-06-26,F,bestseller,OTHER,quot
SvB_BS_131,9789173487115,Inferno,Dan Brown,Bonnier Audio,2013-05-14,M,bestseller,CRIME,quot
SvB_BS_132,9789186719432,Little Bee,Chris Cleave,A Nice Noise,2012-05-01,M,bestseller,OTHER,quot
SvB_BS_133,9789173483025,Den sanna historien om Pinocchios näsa : en roman om ett brott,Leif G.W. Persson,Bonnier Audio,2013-09-26,M,bestseller,CRIME,dash
SvB_BS_134,9789164232960,Analfabeten som kunde räkna,Jonas Jonasson,Piratförlaget,2013-09-01,M,bestseller,OTHER,dash
SvB_BS_135,9789113056012,Innan floden tar oss,Helena Thorfinn,Norstedts,2013-06-01,F,bestseller,OTHER,quot
SvB_BS_136,9789164232953,Mellan rött och svart,Jan Guillou,Piratförlaget,2013-09-01,M,bestseller,OTHER,quot
SvB_BS_137,9789164232823,Paradisoffer,Kristina Ohlsson,Piratförlaget,2012-04-01,F,bestseller,CRIME,dash
SvB_BS_138,9789173486903,Du går inte ensam,Mari Jungstedt,Bonnier Audio,2013-05-03,F,bestseller,CRIME,dash
SvB_BS_139,9789164232977,Lyckliga gatan,Liza Marklund,Piratförlaget,2013-10-01,F,bestseller,CRIME,dash
SvB_BS_140,9789113041100,När skönheten kom till Bro,Anna Jansson,Norstedts,2012-03-01,F,bestseller,CRIME,quot
SvB_BS_141,9789176513477,Polis,Jo Nesbø,Bonnier Audio,2017-02-24,M,bestseller,CRIME,quot
SvB_BS_142,9789170365546,För mycket lycka,Alice Munro,Storyside,2010-08-01,F,bestseller,PRESTIGE,quot
SvB_BS_143,9789173486507,Kaffe med rån,Catharina Ingelman-Sundberg,Bonnier Audio,2012-08-01,F,bestseller,CRIME,quot
SvB_BS_144,9789173486910,I farans riktning,Viveca Sten,Bonnier Audio,2013-05-20,F,bestseller,CRIME,quot
SvB_BS_145,9789173487221,Min mormor hälsar och säger förlåt,Fredrik Backman,Bonnier Audio,2013-09-24,M,bestseller,OTHER,dash
SvB_BS_146,9789186615970,Mörka platser,Gillian Flynn,Word Audio Publishing,2012-11-01,F,bestseller,CRIME,quot
SvB_BS_147,9789113044101,Gideons ring,Carin Gerhardsen,Norstedts,2012-05-01,F,bestseller,CRIME,dash
SvB_BS_148,9789173486996,Och bergen svarade,Khaled Hosseini,Bonnier Audio,2013-06-03,M,bestseller,OTHER,quot
SvB_BS_149,9789178272488,Flaskpost från P,Jussi Adler-Olsen,Bonnier Audio,2012-04-01,M,bestseller,CRIME,quot
SvB_BS_150,9789113047003,Torka aldrig tårar utan handskar: 2. Sjukdomen,Jonas Gardell,Norstedts,2013-01-01,M,bestseller,OTHER,quot
SvB_BS_151,9789127139534,Egenmäktigt förfarande : En roman om kärlek,Lena Andersson,Natur & Kultur,2013-12-01,F,bestseller,PRESTIGE,dash
SvB_BS_152,9789170368608,Handen : ett fall för Wallander,Henning Mankell,Storyside,2013-08-01,M,bestseller,CRIME,dash
SvB_BS_153,9789173487214,Rörgast,Johan Theorin,Bonnier Audio,2013-10-01,M,bestseller,CRIME,quot
SvB_BS_154,9789164233028,Att inte vilja se,Jan Guillou,Piratförlaget,2014-08-28,M,bestseller,OTHER,quot
SvB_BS_155,9789173488617,Stalker,Lars Kepler,Bonnier Audio,2014-10-24,2,bestseller,CRIME,dash
SvB_BS_156,9789175230269,Gone Girl,Gillian Flynn,Word Audio Publishing,2013-08-01,F,bestseller,CRIME,quot
SvB_BS_157,9789173488631,Lejontämjaren,Camilla Läckberg,Bonnier Audio,2014-11-17,F,bestseller,CRIME,quot
SvB_BS_158,9789173488020,VIP-rummet,Jens Lapidus,Bonnier Audio,2014-06-03,M,bestseller,CRIME,quot
SvB_BS_159,9789188261175,Sophies historia,Jojo Moyes,Printz Publishing,2015-11-19,F,bestseller,OTHER,quot
SvB_BS_160,9789127141919,Utan personligt ansvar,Lena Andersson,Natur & Kultur,2014-10-30,F,bestseller,OTHER,dash
SvB_BS_161,9789176513552,Sonen,Jo Nesbø,Bonnier Audio,2016-10-04,M,bestseller,CRIME,quot
SvB_BS_162,9789113050737,Än klappar hjärtan,Helena von Zweigbergk,Norstedts,2013-09-01,F,bestseller,OTHER,quot
SvB_BS_163,9789170369506,Jag heter inte Miriam,Majgull Axelsson,Storyside,2014-03-17,F,bestseller,OTHER,quot
SvB_BS_165,9789113067445,De underkända,"Hans Rosenfeldt, Michael Hjorth",Norstedts,2015-10-15,M,bestseller,CRIME,quot
SvB_BS_166,9789164233189,Blå stjärnan,Jan Guillou,Piratförlaget,2015-09-03,M,bestseller,OTHER,quot
SvB_BS_167,9789113060798,Det som inte dödar oss : Millennium 4,David Lagercrantz,Norstedts,2015-09-10,M,bestseller,CRIME,quot
