isbn,isbn_firstep,title,all_authors,season,episode,publisher,publication_date,length
9789180112789,9789180112550,Lillforsa Ladies - Del 24,Karin Janson,1,24,Storytel Original,2020-12-24,0.4887964
9789178151707,9789178151707,Majken Linds mordmysterier - S1E1,"Boel Bermann, Olle Söderström",1,1,Storytel Original,2018-03-19,1.0738864000000001
9789178151714,9789178151707,Majken Linds mordmysterier - S1E2,"Boel Bermann, Olle Söderström",1,2,Storytel Original,2018-03-19,0.98722610000000011
9789178151721,9789178151707,Majken Linds mordmysterier - S1E3,"Boel Bermann, Olle Söderström",1,3,Storytel Original,2018-03-19,1.0231392000000001
9789178151738,9789178151707,Majken Linds mordmysterier - S1E4,"Boel Bermann, Olle Söderström",1,4,Storytel Original,2018-03-19,0.9146119
9789178151745,9789178151707,Majken Linds mordmysterier - S1E5,"Boel Bermann, Olle Söderström",1,5,Storytel Original,2018-03-19,0.9385474
9789178151752,9789178151707,Majken Linds mordmysterier - S1E6,"Boel Bermann, Olle Söderström",1,6,Storytel Original,2018-03-19,0.75959260000000006
9789178151769,9789178151707,Majken Linds mordmysterier - S1E7,"Boel Bermann, Olle Söderström",1,7,Storytel Original,2018-03-19,1.0643319
9789178151776,9789178151707,Majken Linds mordmysterier - S1E8,"Boel Bermann, Olle Söderström",1,8,Storytel Original,2018-03-19,0.92816550000000009
9789178151783,9789178151707,Majken Linds mordmysterier - S1E9,"Boel Bermann, Olle Söderström",1,9,Storytel Original,2018-03-19,0.98742310000000011
9789178151790,9789178151707,Majken Linds mordmysterier - S1E10,"Boel Bermann, Olle Söderström",1,10,Storytel Original,2018-03-19,1.0706359
9789177352105,9789177352105,Maskeradstaden - Del 1,Maria Monciu,1,1,Storytel Original,2016-08-02,1.0799934
9789177352112,9789177352105,Maskeradstaden - Del 2,Maria Monciu,1,2,Storytel Original,2016-08-02,0.98545310000000008
9789177352129,9789177352105,Maskeradstaden - Del 3,Maria Monciu,1,3,Storytel Original,2016-08-02,1.1394283
9789177352136,9789177352105,Maskeradstaden - Del 4,Maria Monciu,1,4,Storytel Original,2016-08-02,1.0107873
9789177352143,9789177352105,Maskeradstaden - Del 5,Maria Monciu,1,5,Storytel Original,2016-08-02,1.0065124
9789177352150,9789177352105,Maskeradstaden - Del 6,Maria Monciu,1,6,Storytel Original,2016-08-02,0.9976868000000001
9789177352167,9789177352105,Maskeradstaden - Del 7,Maria Monciu,1,7,Storytel Original,2016-08-02,0.906397
9789177352174,9789177352105,Maskeradstaden - Del 8,Maria Monciu,1,8,Storytel Original,2016-08-02,0.8337828
9789177352181,9789177352105,Maskeradstaden - Del 9,Maria Monciu,1,9,Storytel Original,2016-08-02,0.9366759
9789177352198,9789177352105,Maskeradstaden - Del 10,Maria Monciu,1,10,Storytel Original,2016-08-02,0.9707766000000001
9789178393787,9789178393787,Syrran – Mörk framtid – Del 1,Markus Sköld,1,1,Storytel Kids,2018-10-26,0.5830018
9789178393794,9789178393787,Streamaren – Mörk framtid – Del 2,Boel Bermann,1,2,Storytel Kids,2018-10-26,0.2727662
9789178393800,9789178393787,Nästan som jag – Mörk framtid – Del 3,Markus Sköld,1,3,Storytel Kids,2018-10-26,0.61529010000000006
9789178393817,9789178393787,Exet – Mörk framtid – Del 4,Boel Bermann,1,4,Storytel Kids,2018-10-26,0.23561200000000002
9789178393824,9789178393787,Nedstängd – Mörk framtid – Del 5,Markus Sköld,1,5,Storytel Kids,2018-10-26,0.64893770000000006
9789178393831,9789178393787,Felicia – Mörk framtid – Del 6,Erik Odeldahl,1,6,Storytel Kids,2018-10-26,0.5014241
9789178393848,9789178393787,Mvh Du – Mörk framtid – Del 7,Markus Sköld,1,7,Storytel Kids,2018-10-26,0.332733
9789178393855,9789178393787,"Är du kompatibel, lille vän? – Mörk framtid – Del 8",Erik Odeldahl,1,8,Storytel Kids,2018-10-26,0.6188361
9789178393862,9789178393787,Svep. Hjärta. Chatta. Dejt – Mörk framtid – Del 9,Boel Bermann,1,9,Storytel Kids,2018-10-26,0.2575972
9789178393879,9789178393787,Skogsland – Mörk framtid – Del 10,Markus Sköld,1,10,Storytel Kids,2018-10-26,0.5250641
9789178015955,9789178015955,Mörkt arv - S1E1,Arianna Bommarco,1,1,Storytel Original,2017-11-28,0.9862214
9789178015962,9789178015955,Mörkt arv - S1E2,Arianna Bommarco,1,2,Storytel Original,2017-11-28,0.885121
9789178015979,9789178015955,Mörkt arv - S1E3,Arianna Bommarco,1,3,Storytel Original,2017-11-28,0.9298203
9789178015986,9789178015955,Mörkt arv - S1E4,Arianna Bommarco,1,4,Storytel Original,2017-11-28,0.8722569
9789178015993,9789178015955,Mörkt arv - S1E5,Arianna Bommarco,1,5,Storytel Original,2017-11-28,0.972195
9789178016006,9789178015955,Mörkt arv - S1E6,Arianna Bommarco,1,6,Storytel Original,2017-11-28,0.8899278
9789178016013,9789178015955,Mörkt arv - S1E7,Arianna Bommarco,1,7,Storytel Original,2017-11-28,0.89140530000000007
9789178016020,9789178015955,Mörkt arv - S1E8,Arianna Bommarco,1,8,Storytel Original,2017-11-28,0.8833086
9789178016037,9789178015955,Mörkt arv - S1E9,Arianna Bommarco,1,9,Storytel Original,2017-11-28,0.87123250000000008
9789178016044,9789178015955,Mörkt arv - S1E10,Arianna Bommarco,1,10,Storytel Original,2017-11-28,0.9110856
9789178412402,9789178412402,Nina i Granbergsbyn - S1E1,Anna Holmström Degerman,1,1,Storytel Original,2018-11-06,1.0204797
9789178412419,9789178412402,Nina i Granbergsbyn - S1E2,Anna Holmström Degerman,1,2,Storytel Original,2018-11-06,0.98559100000000011
9789178412426,9789178412402,Nina i Granbergsbyn - S1E3,Anna Holmström Degerman,1,3,Storytel Original,2018-11-06,1.0316102
9789178412433,9789178412402,Nina i Granbergsbyn - S1E4,Anna Holmström Degerman,1,4,Storytel Original,2018-11-06,0.91181450000000008
9789178412440,9789178412402,Nina i Granbergsbyn - S1E5,Anna Holmström Degerman,1,5,Storytel Original,2018-11-06,0.9166016
9789178412457,9789178412402,Nina i Granbergsbyn - S1E6,Anna Holmström Degerman,1,6,Storytel Original,2018-11-06,1.045873
9789178412464,9789178412402,Nina i Granbergsbyn - S1E7,Anna Holmström Degerman,1,7,Storytel Original,2018-11-06,0.9907327
9789178412471,9789178412402,Nina i Granbergsbyn - S1E8,Anna Holmström Degerman,1,8,Storytel Original,2018-11-06,0.9735346
9789178412488,9789178412402,Nina i Granbergsbyn - S1E9,Anna Holmström Degerman,1,9,Storytel Original,2018-11-06,1.0151213000000001
9789178412495,9789178412402,Nina i Granbergsbyn - S1E10,Anna Holmström Degerman,1,10,Storytel Original,2018-11-06,1.022824
9789179076306,9789179076306,Nina i Granbergsbyn - S2E1,Anna Holmström Degerman,2,1,Storytel Original,2019-11-13,0.97321940000000007
9789179076313,9789179076306,Nina i Granbergsbyn - S2E2,Anna Holmström Degerman,2,2,Storytel Original,2019-11-13,0.8431206
9789179076320,9789179076306,Nina i Granbergsbyn - S2E3,Anna Holmström Degerman,2,3,Storytel Original,2019-11-13,0.9468214
9789179076337,9789179076306,Nina i Granbergsbyn - S2E4,Anna Holmström Degerman,2,4,Storytel Original,2019-11-13,0.8735374
9789179076344,9789179076306,Nina i Granbergsbyn - S2E5,Anna Holmström Degerman,2,5,Storytel Original,2019-11-13,0.9637831
9789179076351,9789179076306,Nina i Granbergsbyn - S2E6,Anna Holmström Degerman,2,6,Storytel Original,2019-11-13,0.9550954
9789179076368,9789179076306,Nina i Granbergsbyn - S2E7,Anna Holmström Degerman,2,7,Storytel Original,2019-11-13,0.8814765
9789179076375,9789179076306,Nina i Granbergsbyn - S2E8,Anna Holmström Degerman,2,8,Storytel Original,2019-11-13,0.9667578
9789179076382,9789179076306,Nina i Granbergsbyn - S2E9,Anna Holmström Degerman,2,9,Storytel Original,2019-11-13,0.85716670000000006
9789179076399,9789179076306,Nina i Granbergsbyn - S2E10,Anna Holmström Degerman,2,10,Storytel Original,2019-11-13,0.8678441
9789177357599,9789177357599,Ryggdjur - Del 1,Hanna von Corswant,1,1,Storytel Original,2016-11-08,1.0105903
9789177357605,9789177357599,Ryggdjur - Del 2,Hanna von Corswant,1,2,Storytel Original,2016-11-08,0.9090565
9789177357612,9789177357599,Ryggdjur - Del 3,Hanna von Corswant,1,3,Storytel Original,2016-11-08,0.9176851
9789177357629,9789177357599,Ryggdjur - Del 4,Hanna von Corswant,1,4,Storytel Original,2016-11-08,0.9002112000000001
9789177357636,9789177357599,Ryggdjur - Del 5,Hanna von Corswant,1,5,Storytel Original,2016-11-08,0.88124010000000008
9789177357643,9789177357599,Ryggdjur - Del 6,Hanna von Corswant,1,6,Storytel Original,2016-11-08,0.8588806
9789177357650,9789177357599,Ryggdjur - Del 7,Hanna von Corswant,1,7,Storytel Original,2016-11-08,0.87871850000000007
9789177357667,9789177357599,Ryggdjur - Del 8,Hanna von Corswant,1,8,Storytel Original,2016-11-08,0.8891004
9789177357674,9789177357599,Ryggdjur - Del 9,Hanna von Corswant,1,9,Storytel Original,2016-11-08,0.9373063
9789177357681,9789177357599,Ryggdjur - Del 10,Hanna von Corswant,1,10,Storytel Original,2016-11-08,0.9074805
9789178608546,9789178608546,Saknad - S1E1,Lone Theils,1,1,Storytel Original,2019-09-16,0.9918162
9789178608553,9789178608546,Saknad - S1E2,Lone Theils,1,2,Storytel Original,2019-09-16,0.8928237
9789178608560,9789178608546,Saknad - S1E3,Lone Theils,1,3,Storytel Original,2019-09-16,0.859905
9789178608577,9789178608546,Saknad - S1E4,Lone Theils,1,4,Storytel Original,2019-09-16,0.9190838
9789178608584,9789178608546,Saknad - S1E5,Lone Theils,1,5,Storytel Original,2019-09-16,0.95324360000000008
9789178608591,9789178608546,Saknad - S1E6,Lone Theils,1,6,Storytel Original,2019-09-16,0.9045058
9789178608607,9789178608546,Saknad - S1E7,Lone Theils,1,7,Storytel Original,2019-09-16,0.8595701
9789178608614,9789178608546,Saknad - S1E8,Lone Theils,1,8,Storytel Original,2019-09-16,0.9274169000000001
9789178608621,9789178608546,Saknad - S1E9,Lone Theils,1,9,Storytel Original,2019-09-16,0.94764880000000007
9789178608638,9789178608546,Saknad - S1E10,Lone Theils,1,10,Storytel Original,2019-09-16,1.0201842
9789177356899,9789177356899,Samtal pågår - Del 1,"Henrik Karlsson, Tiina Nevala",1,1,Storytel Original,2016-10-11,0.8069514000000001
9789177356905,9789177356899,Samtal pågår - Del 2,"Henrik Karlsson, Tiina Nevala",1,2,Storytel Original,2016-10-11,0.81315690000000007
9789177356912,9789177356899,Samtal pågår - Del 3,"Henrik Karlsson, Tiina Nevala",1,3,Storytel Original,2016-10-11,0.7607943
9789177356929,9789177356899,Samtal pågår - Del 4,"Henrik Karlsson, Tiina Nevala",1,4,Storytel Original,2016-10-11,0.7837448
9789177356936,9789177356899,Samtal pågår - Del 5,"Henrik Karlsson, Tiina Nevala",1,5,Storytel Original,2016-10-11,0.79838190000000009
9789177356943,9789177356899,Samtal pågår - Del 6,"Henrik Karlsson, Tiina Nevala",1,6,Storytel Original,2016-10-11,0.8197367000000001
9789177356950,9789177356899,Samtal pågår - Del 7,"Henrik Karlsson, Tiina Nevala",1,7,Storytel Original,2016-10-11,0.8007853
9789177356967,9789177356899,Samtal pågår - Del 8,"Henrik Karlsson, Tiina Nevala",1,8,Storytel Original,2016-10-11,0.8072272
9789177356974,9789177356899,Samtal pågår - Del 9,"Henrik Karlsson, Tiina Nevala",1,9,Storytel Original,2016-10-11,0.86230840000000009
9789177356981,9789177356899,Samtal pågår - Del 10,"Henrik Karlsson, Tiina Nevala",1,10,Storytel Original,2016-10-11,0.8120537000000001
9789178390007,9789178390007,Del 1 – Sanningen om Ester Gråbergs försvinnande,Moa Eriksson Sandberg,1,1,Storytel Kids,2018-05-15,0.567951
9789178390014,9789178390007,Del 2 – Sanningen om Ester Gråbergs försvinnande,Moa Eriksson Sandberg,1,2,Storytel Kids,2018-05-15,0.5601892
9789178390021,9789178390007,Del 3 – Sanningen om Ester Gråbergs försvinnande,Moa Eriksson Sandberg,1,3,Storytel Kids,2018-05-15,0.5353278
9789178390038,9789178390007,Del 4 – Sanningen om Ester Gråbergs försvinnande,Moa Eriksson Sandberg,1,4,Storytel Kids,2018-05-15,0.59779650000000006
9789178390045,9789178390007,Del 5 – Sanningen om Ester Gråbergs försvinnande,Moa Eriksson Sandberg,1,5,Storytel Kids,2018-05-15,0.6301833
9789178390052,9789178390007,Del 6 – Sanningen om Ester Gråbergs försvinnande,Moa Eriksson Sandberg,1,6,Storytel Kids,2018-05-15,0.57193040000000006
9789178390069,9789178390007,Del 7 – Sanningen om Ester Gråbergs försvinnande,Moa Eriksson Sandberg,1,7,Storytel Kids,2018-05-15,0.5483298
9789178390076,9789178390007,Del 8 – Sanningen om Ester Gråbergs försvinnande,Moa Eriksson Sandberg,1,8,Storytel Kids,2018-05-15,0.50235000000000007
9789178390083,9789178390007,Del 9 – Sanningen om Ester Gråbergs försvinnande,Moa Eriksson Sandberg,1,9,Storytel Kids,2018-05-15,0.4308193
9789178390090,9789178390007,Del 10 – Sanningen om Ester Gråbergs försvinnande,Moa Eriksson Sandberg,1,10,Storytel Kids,2018-05-15,0.51088010000000006
9789178151103,9789178151103,Sekten - S1E1,Maria Nordström,1,1,Storytel Original,2019-03-27,1.0201448
9789178151110,9789178151103,Sekten - S1E2,Maria Nordström,1,2,Storytel Original,2019-03-27,0.9435118
9789178151127,9789178151103,Sekten - S1E3,Maria Nordström,1,3,Storytel Original,2019-03-27,0.95566670000000009
9789178151134,9789178151103,Sekten - S1E4,Maria Nordström,1,4,Storytel Original,2019-03-27,0.9092141
9789178151141,9789178151103,Sekten - S1E5,Maria Nordström,1,5,Storytel Original,2019-03-27,0.8842345
9789178151158,9789178151103,Sekten - S1E6,Maria Nordström,1,6,Storytel Original,2019-03-27,0.97727760000000008
9789178151165,9789178151103,Sekten - S1E7,Maria Nordström,1,7,Storytel Original,2019-03-27,1.000563
9789178151172,9789178151103,Sekten - S1E8,Maria Nordström,1,8,Storytel Original,2019-03-27,1.0144121000000001
9789178151189,9789178151103,Sekten - S1E9,Maria Nordström,1,9,Storytel Original,2019-03-27,0.9373063
9789178151196,9789178151103,Sekten - S1E10,Maria Nordström,1,10,Storytel Original,2019-03-27,1.0084627000000002
9789177610410,9789177610410,Sofia Tholls kabinett - S1E1,Elisabeth Östnäs,1,1,Storytel Original,2017-06-13,1.0250895
9789177610427,9789177610410,Sofia Tholls kabinett - S1E2,Elisabeth Östnäs,1,2,Storytel Original,2017-06-13,1.0069261
9789177610434,9789177610410,Sofia Tholls kabinett - S1E3,Elisabeth Östnäs,1,3,Storytel Original,2017-06-13,0.9117357
9789177610441,9789177610410,Sofia Tholls kabinett - S1E4,Elisabeth Östnäs,1,4,Storytel Original,2017-06-13,0.9978641
9789177610458,9789177610410,Sofia Tholls kabinett - S1E5,Elisabeth Östnäs,1,5,Storytel Original,2017-06-13,0.9743226
9789177610465,9789177610410,Sofia Tholls kabinett - S1E6,Elisabeth Östnäs,1,6,Storytel Original,2017-06-13,0.99081150000000007
9789177610472,9789177610410,Sofia Tholls kabinett - S1E7,Elisabeth Östnäs,1,7,Storytel Original,2017-06-13,0.99339220000000006
9789177610489,9789177610410,Sofia Tholls kabinett - S1E8,Elisabeth Östnäs,1,8,Storytel Original,2017-06-13,0.9352772
9789177610496,9789177610410,Sofia Tholls kabinett - S1E9,Elisabeth Östnäs,1,9,Storytel Original,2017-06-13,0.9347256
9789177610502,9789177610410,Sofia Tholls kabinett - S1E10,Elisabeth Östnäs,1,10,Storytel Original,2017-06-13,0.88326920000000009
9789178171132,9789178171132,Stackars Birger - S1E1,Martina Montelius,1,1,Storytel Original,2018-09-18,1.0198493
9789178171149,9789178171132,Stackars Birger - S1E2,Martina Montelius,1,2,Storytel Original,2018-09-18,0.9079139
9789178171156,9789178171132,Stackars Birger - S1E3,Martina Montelius,1,3,Storytel Original,2018-09-18,0.9705796000000001
9789178171163,9789178171132,Stackars Birger - S1E4,Martina Montelius,1,4,Storytel Original,2018-09-18,0.95050530000000011
9789178171170,9789178171132,Stackars Birger - S1E5,Martina Montelius,1,5,Storytel Original,2018-09-18,0.78595120000000007
9789178171187,9789178171132,Stackars Birger - S1E6,Martina Montelius,1,6,Storytel Original,2018-09-18,0.8936117
9789178171194,9789178171132,Stackars Birger - S1E7,Martina Montelius,1,7,Storytel Original,2018-09-18,0.7930038
9789178171200,9789178171132,Stackars Birger - S1E8,Martina Montelius,1,8,Storytel Original,2018-09-18,0.9657531
9789178171217,9789178171132,Stackars Birger - S1E9,Martina Montelius,1,9,Storytel Original,2018-09-18,0.96181310000000009
9789178171224,9789178171132,Stackars Birger - S1E10,Martina Montelius,1,10,Storytel Original,2018-09-18,0.91668040000000006
9789177355649,9789177355649,Stockholm Psycho - Del 1,Anna Bågstam,1,1,Storytel Original,2016-10-25,0.9941999
9789177355656,9789177355649,Stockholm Psycho - Del 2,Anna Bågstam,1,2,Storytel Original,2016-10-25,1.025188
9789177355663,9789177355649,Stockholm Psycho - Del 3,Anna Bågstam,1,3,Storytel Original,2016-10-25,0.9478655
9789177355670,9789177355649,Stockholm Psycho - Del 4,Anna Bågstam,1,4,Storytel Original,2016-10-25,1.0749896
9789177355687,9789177355649,Stockholm Psycho - Del 5,Anna Bågstam,1,5,Storytel Original,2016-10-25,1.0957534
9789177355694,9789177355649,Stockholm Psycho - Del 6,Anna Bågstam,1,6,Storytel Original,2016-10-25,1.0259957
9789177355700,9789177355649,Stockholm Psycho - Del 7,Anna Bågstam,1,7,Storytel Original,2016-10-25,1.0355896
9789177355717,9789177355649,Stockholm Psycho - Del 8,Anna Bågstam,1,8,Storytel Original,2016-10-25,1.0136438
9789177355724,9789177355649,Stockholm Psycho - Del 9,Anna Bågstam,1,9,Storytel Original,2016-10-25,1.0697494
9789177355731,9789177355649,Stockholm Psycho - Del 10,Anna Bågstam,1,10,Storytel Original,2016-10-25,1.1481751
9789178391707,9789178391707,Storm - Del 1,Karina Berg Johansson,1,1,Storytel Original,2020-07-22,0.6683422
9789178391714,9789178391707,Storm - Del 2,Karina Berg Johansson,1,2,Storytel Original,2020-07-22,0.6371177
9789178391721,9789178391707,Storm - Del 3,Karina Berg Johansson,1,3,Storytel Original,2020-07-22,0.6929475
9789178391738,9789178391707,Storm - Del 4,Karina Berg Johansson,1,4,Storytel Original,2020-07-22,0.490333
9789178391745,9789178391707,Storm - Del 5,Karina Berg Johansson,1,5,Storytel Original,2020-07-22,0.5118848
9789178391752,9789178391707,Storm - Del 6,Karina Berg Johansson,1,6,Storytel Original,2020-07-22,0.49500190000000005
9789178391769,9789178391707,Storm - Del 7,Karina Berg Johansson,1,7,Storytel Original,2020-07-22,0.4827091
9789178391776,9789178391707,Storm - Del 8,Karina Berg Johansson,1,8,Storytel Original,2020-07-22,0.33318610000000004
9789178391783,9789178391707,Storm - Del 9,Karina Berg Johansson,1,9,Storytel Original,2020-07-22,0.50061640000000007
9789178391790,9789178391707,Storm - Del 10,Karina Berg Johansson,1,10,Storytel Original,2020-07-22,0.56235620000000008
9789177615309,9789177615309,Summer Karlsson - S1E1,Johanna Nilsson,1,1,Storytel Original,2017-03-07,0.84203710000000009
9789177615316,9789177615309,Summer Karlsson - S1E2,Johanna Nilsson,1,2,Storytel Original,2017-03-07,0.89264640000000006
9789177615323,9789177615309,Summer Karlsson - S1E3,Johanna Nilsson,1,3,Storytel Original,2017-03-07,0.9127010000000001
9789177615330,9789177615309,Summer Karlsson - S1E4,Johanna Nilsson,1,4,Storytel Original,2017-03-07,1.0855291
9789177615347,9789177615309,Summer Karlsson - S1E5,Johanna Nilsson,1,5,Storytel Original,2017-03-07,1.0082066
9789177615354,9789177615309,Summer Karlsson - S1E6,Johanna Nilsson,1,6,Storytel Original,2017-03-07,1.1033379
9789177615361,9789177615309,Summer Karlsson - S1E7,Johanna Nilsson,1,7,Storytel Original,2017-03-07,1.1743367
9789177615378,9789177615309,Summer Karlsson - S1E8,Johanna Nilsson,1,8,Storytel Original,2017-03-07,1.0499706
9789177615385,9789177615309,Summer Karlsson - S1E9,Johanna Nilsson,1,9,Storytel Original,2017-03-07,1.1716575
9789177615392,9789177615309,Summer Karlsson - S1E10,Johanna Nilsson,1,10,Storytel Original,2017-03-07,1.2744324
9789178014118,9789178014118,Summer Karlsson - S2E1,Johanna Nilsson,2,1,Storytel Original,2017-10-24,0.9697128
9789178014125,9789178014118,Summer Karlsson - S2E2,Johanna Nilsson,2,2,Storytel Original,2017-10-24,0.97619410000000006
9789178014132,9789178014118,Summer Karlsson - S2E3,Johanna Nilsson,2,3,Storytel Original,2017-10-24,0.9919147
9789178014149,9789178014118,Summer Karlsson - S2E4,Johanna Nilsson,2,4,Storytel Original,2017-10-24,1.1546761
9789178014156,9789178014118,Summer Karlsson - S2E5,Johanna Nilsson,2,5,Storytel Original,2017-10-24,0.92341780000000007
9789178014163,9789178014118,Summer Karlsson - S2E6,Johanna Nilsson,2,6,Storytel Original,2017-10-24,0.98708820000000008
9789178014170,9789178014118,Summer Karlsson - S2E7,Johanna Nilsson,2,7,Storytel Original,2017-10-24,1.0249713
9789178014187,9789178014118,Summer Karlsson - S2E8,Johanna Nilsson,2,8,Storytel Original,2017-10-24,0.9496582
9789178014194,9789178014118,Summer Karlsson - S2E9,Johanna Nilsson,2,9,Storytel Original,2017-10-24,1.0480203000000001
9789178014200,9789178014118,Summer Karlsson - S2E10,Johanna Nilsson,2,10,Storytel Original,2017-10-24,0.8605945
9789178158485,9789178158485,Summer Karlsson - S3E1,Johanna Nilsson,3,1,Storytel Original,2018-09-25,0.9685308
9789178158492,9789178158485,Summer Karlsson - S3E2,Johanna Nilsson,3,2,Storytel Original,2018-09-25,0.68494930000000009
9789178158508,9789178158485,Summer Karlsson - S3E3,Johanna Nilsson,3,3,Storytel Original,2018-09-25,0.8304141
9789178158515,9789178158485,Summer Karlsson - S3E4,Johanna Nilsson,3,4,Storytel Original,2018-09-25,0.8802157
9789178158522,9789178158485,Summer Karlsson - S3E5,Johanna Nilsson,3,5,Storytel Original,2018-09-25,0.9272002
9789178158539,9789178158485,Summer Karlsson - S3E6,Johanna Nilsson,3,6,Storytel Original,2018-09-25,0.8803339
9789178158546,9789178158485,Summer Karlsson - S3E7,Johanna Nilsson,3,7,Storytel Original,2018-09-25,0.8315567
9789178158553,9789178158485,Summer Karlsson - S3E8,Johanna Nilsson,3,8,Storytel Original,2018-09-25,0.81181730000000007
9789178158560,9789178158485,Summer Karlsson - S3E9,Johanna Nilsson,3,9,Storytel Original,2018-09-25,0.8023416000000001
9789178158577,9789178158485,Summer Karlsson - S3E10,Johanna Nilsson,3,10,Storytel Original,2018-09-25,0.7495653
9789177350309,9789177350309,Svart stjärna - S1E1,"Jesper Ersgård, Joakim Ersgård",1,1,Storytel Original,2016-07-05,1.4957225
9789177350316,9789177350309,Svart stjärna - S1E2,"Jesper Ersgård, Joakim Ersgård",1,2,Storytel Original,2016-07-05,0.8781078000000001
9789177350323,9789177350309,Svart stjärna - S1E3,"Jesper Ersgård, Joakim Ersgård",1,3,Storytel Original,2016-07-05,0.8463317
9789177350330,9789177350309,Svart stjärna - S1E4,"Jesper Ersgård, Joakim Ersgård",1,4,Storytel Original,2016-07-05,0.9041118
9789177350347,9789177350309,Svart stjärna - S1E5,"Jesper Ersgård, Joakim Ersgård",1,5,Storytel Original,2016-07-05,0.9000339
9789177350354,9789177350309,Svart stjärna - S1E6,"Jesper Ersgård, Joakim Ersgård",1,6,Storytel Original,2016-07-05,0.8911886
9789177350361,9789177350309,Svart stjärna - S1E7,"Jesper Ersgård, Joakim Ersgård",1,7,Storytel Original,2016-07-05,0.86534220000000006
9789177350378,9789177350309,Svart stjärna - S1E8,"Jesper Ersgård, Joakim Ersgård",1,8,Storytel Original,2016-07-05,0.869361
9789177350385,9789177350309,Svart stjärna - S1E9,"Jesper Ersgård, Joakim Ersgård",1,9,Storytel Original,2016-07-05,0.9171335
9789177350392,9789177350309,Svart stjärna - S1E10,"Jesper Ersgård, Joakim Ersgård",1,10,Storytel Original,2016-07-05,0.87980200000000008
9789177359722,9789177359722,Svart stjärna - S2E1,"Jesper Ersgård, Joakim Ersgård",2,1,Storytel Original,2016-12-13,1.0858049
9789177359739,9789177359722,Svart stjärna - S2E2,"Jesper Ersgård, Joakim Ersgård",2,2,Storytel Original,2016-12-13,1.1188418
9789177359746,9789177359722,Svart stjärna - S2E3,"Jesper Ersgård, Joakim Ersgård",2,3,Storytel Original,2016-12-13,0.91147960000000006
9789177359753,9789177359722,Svart stjärna - S2E4,"Jesper Ersgård, Joakim Ersgård",2,4,Storytel Original,2016-12-13,0.93332690000000007
9789177359760,9789177359722,Svart stjärna - S2E5,"Jesper Ersgård, Joakim Ersgård",2,5,Storytel Original,2016-12-13,0.89784720000000007
9789177359777,9789177359722,Svart stjärna - S2E6,"Jesper Ersgård, Joakim Ersgård",2,6,Storytel Original,2016-12-13,0.9747757
9789177359784,9789177359722,Svart stjärna - S2E7,"Jesper Ersgård, Joakim Ersgård",2,7,Storytel Original,2016-12-13,0.92629400000000006
9789177359791,9789177359722,Svart stjärna - S2E8,"Jesper Ersgård, Joakim Ersgård",2,8,Storytel Original,2016-12-13,0.90616060000000009
9789177359807,9789177359722,Svart stjärna - S2E9,"Jesper Ersgård, Joakim Ersgård",2,9,Storytel Original,2016-12-13,0.9357894000000001
9789177359814,9789177359722,Svart stjärna - S2E10,"Jesper Ersgård, Joakim Ersgård",2,10,Storytel Original,2016-12-13,0.9370305000000001
9789177611981,9789177611981,Svart stjärna - S3E1,"Jesper Ersgård, Joakim Ersgård",3,1,Storytel Original,2017-07-18,0.86027930000000008
9789177611998,9789177611981,Svart stjärna - S3E2,"Jesper Ersgård, Joakim Ersgård",3,2,Storytel Original,2017-07-18,0.85216290000000006
9789177612001,9789177611981,Svart stjärna - S3E3,"Jesper Ersgård, Joakim Ersgård",3,3,Storytel Original,2017-07-18,1.0331271
9789177612018,9789177611981,Svart stjärna - S3E4,"Jesper Ersgård, Joakim Ersgård",3,4,Storytel Original,2017-07-18,0.9062
9789177612025,9789177611981,Svart stjärna - S3E5,"Jesper Ersgård, Joakim Ersgård",3,5,Storytel Original,2017-07-18,0.86280090000000009
9789177612032,9789177611981,Svart stjärna - S3E6,"Jesper Ersgård, Joakim Ersgård",3,6,Storytel Original,2017-07-18,0.8571864
9789177612049,9789177611981,Svart stjärna - S3E7,"Jesper Ersgård, Joakim Ersgård",3,7,Storytel Original,2017-07-18,0.89625150000000009
9789177612056,9789177611981,Svart stjärna - S3E8,"Jesper Ersgård, Joakim Ersgård",3,8,Storytel Original,2017-07-18,0.8499959
9789177612063,9789177611981,Svart stjärna - S3E9,"Jesper Ersgård, Joakim Ersgård",3,9,Storytel Original,2017-07-18,0.8679032000000001
9789177612070,9789177611981,Svart stjärna - S3E10,"Jesper Ersgård, Joakim Ersgård",3,10,Storytel Original,2017-07-18,0.97672600000000009
9789177353287,9789177353287,Tick Tack - Del 1,Leffe Grimwalker,1,1,Storytel Original,2016-08-16,0.79631340000000006
9789177353294,9789177353287,Tick Tack - Del 2,Leffe Grimwalker,1,2,Storytel Original,2016-08-16,0.8985761000000001
9789177353300,9789177353287,Tick Tack - Del 3,Leffe Grimwalker,1,3,Storytel Original,2016-08-16,0.869558
9789177353317,9789177353287,Tick Tack - Del 4,Leffe Grimwalker,1,4,Storytel Original,2016-08-16,0.87702430000000009
9789177353324,9789177353287,Tick Tack - Del 5,Leffe Grimwalker,1,5,Storytel Original,2016-08-16,0.8538571
9789177353331,9789177353287,Tick Tack - Del 6,Leffe Grimwalker,1,6,Storytel Original,2016-08-16,0.8648300000000001
