id,title,all_authors,author_gender,category,format,style,wc,inquote,nframe,NN_QI,NN_NF,VB_QI,VB_NF,JJ_QI,JJ_NF,RG_QI,RG_NF,RO_QI,RO_NF,PP_QI,PP_NF,VERB_QI,VERB_NF,AUX_QI,AUX_NF,ADV_QI,ADV_NF,PROPN_QI,PROPN_NF,CCONJ_QI,CCONJ_NF,SCONJ_QI,SCONJ_NF,INTJ_QI,INTJ_NF,p1_QI,p1_NF,p2_QI,p2_NF,p3_QI,p3_NF,neg_QI,neg_NF,VBPRT_QI,VBPRT_NF,VBPRS_QI,VBPRS_NF,VBSUP_QI,VBSUP_NF,VBIMP_QI,VBIMP_NF,VBINF_QI,VBINF_NF,VBSFO_QI,VBSFO_NF,NNIND_QI,NNIND_NF,NNDEF_QI,NNDEF_NF,NNSIN_QI,NNSIN_NF,NNPLU_QI,NNPLU_NF,JJSUV_QI,JJSUV_NF,JJKOM_QI,JJKOM_NF
SvB_BS_237,Låt den rätte komma in,John Ajvide Lindqvist,M,OTHER,bestseller,quot,166737,30732,122380,59970,173206,182578,175829,21997,38536,2798,5393,98,670,32409,101904,133672,139279,49134,36910,87563,84965,14870,27840,31824,31018,19393,22700,46206,2541,33288,2010,35858,1013,15651,52721,14480,8964,115487,673669,449474,60600,40100,89135,244163,15661,150241,160424,14614,48285,646229,486814,325014,510119,776994,800491,195334,196490,23669,29262,42899,55768
SvB_BS_238,Shantaram,Gregory David Roberts,M,OTHER,bestseller,quot,437819,144411,292667,109244,179976,186440,162533,40489,59511,4259,5142,769,1524,67599,111998,130440,125207,56277,37606,78609,61896,27443,19924,41680,54765,32927,24222,16675,475,44491,52674,23031,998,38681,38317,13655,5276,191093,697759,487892,66873,41636,81105,97757,3237,181177,150711,27596,59073,701445,643499,292850,352666,743218,714237,251268,281966,45835,34105,39678,43176
SvB_BS_240,Femtio nyanser av honom,E.L. James,F,OTHER,bestseller,quot,198908,55289,136681,72347,123799,202210,179586,31905,44834,3057,7170,760,556,48744,91798,142940,142478,59813,37686,94359,92859,28288,22768,37132,40949,30802,24305,27275,5078,53555,81196,52180,4609,9441,50534,14795,8202,109213,45140,453667,742361,38819,40699,182826,8107,214222,162633,20394,35770,735500,598723,254250,397849,823500,806513,167000,190178,27778,20561,36848,43897
SvB_BS_241,Femtio nyanser av mörker,E.L. James,F,OTHER,bestseller,quot,195592,57671,121721,71596,115280,204713,189335,32980,41685,2306,5652,572,452,41667,81966,145342,156711,59701,33084,81237,80906,32495,28294,38581,50985,33535,23176,28489,5619,57672,86074,46575,2514,14080,56868,14409,7690,116466,33672,452566,800703,43707,34974,187278,7073,199560,123232,22446,31980,744975,595068,234197,396807,829256,801169,149915,190778,26288,17540,29443,42373
SvB_BS_242,Morgon i Jenin,Susan Abulhawa,F,OTHER,bestseller,quot,109091,13145,70782,108634,185499,196348,160182,31571,52273,2054,5552,228,1173,53024,109039,143477,126543,53328,34175,79422,59210,47927,32734,37581,46410,34157,23368,17269,622,56599,44093,33473,2204,25637,41465,11563,6456,195273,627624,411468,93579,42232,95608,158466,4410,189461,177633,24022,61298,711485,666641,277311,330084,801120,742346,189076,254532,38554,37027,45783,25135
SvB_BS_243,Femtio nyanser av frihet,E.L. James,F,OTHER,bestseller,quot,221591,63128,133135,71537,125730,197630,182582,32442,40741,2313,4507,253,503,45352,91276,143993,151320,53891,31532,75941,77290,41091,29864,33804,45998,32046,23608,30557,5145,55110,87332,44133,2186,13560,55417,11960,7308,139628,39329,412312,792085,34146,30402,223229,10614,190125,127324,17634,28838,721213,542685,256864,450684,832595,812414,145483,181014,22949,19174,42480,46460
SvB_BS_244,Min fantastiska väninna,Elena Ferrante,F,OTHER,bestseller,quot,116232,12187,79334,77213,142511,212850,180956,30606,50911,2462,3189,328,895,52679,97940,146960,135692,66054,45995,78608,82525,19037,25349,46935,58525,33889,35760,18791,630,44145,52071,40289,227,32247,46172,16903,11118,88666,689468,483038,33993,62066,86236,175790,1602,189668,187726,6554,36291,729012,619406,267800,378825,767269,767734,230606,230762,16086,32929,50938,55212
SvB_BS_245,Hennes nya namn,Elena Ferrante,F,OTHER,bestseller,quot,175756,25341,99065,68979,130026,211278,191965,29675,48827,2210,2271,395,525,50827,95422,145930,141453,65546,51542,85040,82017,19810,23954,47512,56347,33029,38500,18508,828,45499,51552,45460,1040,27505,53288,19139,12709,81248,656991,514942,41437,50616,97807,161935,2314,191072,200557,14942,37335,716247,608648,278032,389178,797483,773775,197368,224206,23936,24602,54521,40934
SvB_BS_246,Toner i natten,Jojo Moyes,F,OTHER,bestseller,quot,145219,36494,73425,91412,147198,211268,198161,35650,47681,2411,3214,438,626,54009,96439,141174,143275,70258,55254,88453,79660,20634,27470,39815,36132,39486,31883,16222,395,52694,2451,34280,831,19866,84004,17592,10909,148638,659381,442153,28591,62257,127491,120623,2131,225422,181993,19844,38076,656775,541266,336631,456699,783573,783216,209832,214748,35357,32562,43044,44844
SvB_BS_247,Kvinnan på tåget,Paula Hawkins,F,CRIME,bestseller,quot,121435,19288,83667,73621,123035,209197,198645,28774,38127,1711,4960,104,741,54023,90681,147190,146665,62370,52374,83264,82267,23693,13864,36499,38534,43395,34590,15606,669,59208,85267,41632,1100,30226,41450,22086,17510,310781,265764,350434,464621,53532,60409,109789,4452,174969,203791,23544,38448,635211,542355,352113,450845,871127,821158,116197,172236,25225,22257,30631,56740
